Dip Direction,Dip
350.6139,89.7544
348.5235,86.5825
348.7703,82.2428
346.2178,74.8571
344.4998,84.1922
340.0911,88.5208
338.1626,80.1676
335.7943,86.287
335.887,79.3695
335.6613,71.7013
335.6065,63.165
328.9191,85.9418
327.6482,81.9693
327.7202,76.9806
325.0831,80.1781
323.3471,80.4011
323.0693,84.4753
325.7098,74.194
322.6449,75.2606
316.4084,78.5301
313.1728,89.922
307.8486,89.3685
300.7229,84.4208
294.5886,84.2734
291.5036,82.2494
155.7284,89.3088
158.6263,89.0126
159.8594,89.5292
161.6057,84.7876
162.1694,86.5836
163.5703,85.1715
163.5693,82.6358
167.5223,84.9434
167.685,89.0822
169.346,80.0972
169.2674,82.4058
170.2502,82.3824
173.8327,75.8373
171.8983,73.7771
172.966,72.6302
168.2329,71.3674
159.6786,71.3526
159.8829,77.2146
159.7858,79.1716
155.6745,75.6773
154.7435,78.3085
156.0787,77.7702
156.9351,78.2126
153.9476,86.1866
153.3515,81.1362
152.7138,79.03
152.1051,80.9746
152.1677,82.9903
151.1691,86.593
150.529,84.7624
149.269,85.0988
150.0647,87.9476
149.2116,87.1972
147.501,86.9588
145.6859,88.3739
146.5767,87.7527
146.7628,89.114
148.2184,88.8832
150.2756,78.8575
151.0094,76.7789
150.0391,75.4641
149.9891,73.1951
142.1814,89.3211
140.4556,89.3692
134.9362,89.1735
140.6999,82.5906
140.487,81.2528
141.1874,80.2822
141.5821,82.2538
142.713,81.7969
142.3545,79.6245
143.4824,80.2842
143.2199,78.5395
143.5407,74.4492
144.6144,74.4227
146.3473,74.2365
150.3263,67.2238
157.5832,58.9648
144.652,71.3014
142.6978,71.2486
140.7434,71.2913
134.935,87.0791
136.4667,79.0669
133.2319,79.9624
130.5903,81.1923
130.8036,76.7654
136.9314,71.0182
138.401,68.4506
134.4656,70.4217
132.2138,73.3061
130.6377,73.3587
126.7917,78.9302
125.7123,83.8353
123.443,86.5786
119.7738,84.6106
117.5833,80.7254
121.2387,74.4713
122.6342,74.8518
123.6267,70.4408
120.7298,70.3318
116.9619,89.2335
113.9848,83.6546
113.8685,80.6305
113.21,78.6408
117.1136,72.9972
115.606,70.596
113.3554,71.0046
113.9599,64.3643
111.4071,55.7989
109.9432,76.7071
109.5941,72.2547
