Dip direction,Dip
49.256,78.4862
79.041,86.7607
78.9708,84.5685
76.7199,85.3085
75.808,86.9246
75.1925,84.8185
73.1915,86.6246
76.7085,89.704
75.1875,89.3776
82.0969,87.7309
81.2976,86.4688
81.3647,84.3986
81.3617,81.5257
81.6842,81.4429
75.1558,80.1503
73.7644,78.0672
69.5448,80.682
70.9732,80.4062
71.9631,80.5797
71.5979,83.1612
70.474,84.7645
68.7813,85.9235
67.1076,86.7232
67.8442,83.1956
77.5158,76.8086
73.7978,73.4186
81.8808,76.9305
84.8381,83.6413
85.6726,80.687
86.8738,77.1053
88.5349,79.469
89.8608,75.3474
89.355,65.9579
67.8907,69.7039
63.7308,78.8318
64.9814,80.2899
65.5153,82.9616
64.9162,87.1271
61.5595,84.741
60.8033,87.0085
59.6647,82.2252
59.633,85.2393
58.9204,86.7058
59.5103,88.6067
56.9076,85.1079
57.6613,80.8737
55.6798,80.5813
56.5528,78.2741
56.9512,74.7827
60.8101,74.9737
59.5764,68.4278
55.7769,69.5936
54.9387,72.0036
53.1788,78.1079
51.0683,78.1681
52.1961,84.6917
50.9791,82.409
284.291,78.4578
281.2084,82.5686
279.2908,85.5842
278.512,83.4702
276.1039,80.6564
276.1829,84.6626
273.0405,89.1855
261.9862,86.5468
262.197,89.4779
260.2396,87.2124
254.648,86.2636
253.3985,83.0222
252.1862,86.1147
253.7692,89.5076
245.7975,86.6543
244.8548,89.7774
236.4273,80.0373
234.1113,78.1539
107.8483,79.8917
103.5876,84.9977
103.7928,82.8778
102.3101,82.854
102.9402,88.9277
97.1476,76.4507
46.9351,78.3786
97.1476,76.4507
102.9402,88.9277
102.3101,82.854
103.7928,82.8778
103.5876,84.9977
107.8483,79.8917
234.1113,78.1539
236.4273,80.0373
244.8548,89.7774
245.7975,86.6543
253.7692,89.5076
252.1862,86.1147
253.3985,83.0222
254.648,86.2636
260.2396,87.2124
262.197,89.4779
261.9862,86.5468
273.0405,89.1855
276.1829,84.6626
276.1039,80.6564
278.512,83.4702
279.2908,85.5842
281.2084,82.5686
284.291,78.4578
49.256,78.4862
50.9791,82.409
52.1961,84.6917
51.0683,78.1681
53.1788,78.1079
54.9387,72.0036
55.7769,69.5936
59.5764,68.4278
60.8101,74.9737
56.9512,74.7827
56.5528,78.2741
55.6798,80.5813
57.6613,80.8737
56.9076,85.1079
59.5103,88.6067
58.9204,86.7058
59.633,85.2393
59.6647,82.2252
60.8033,87.0085
61.5595,84.741
64.9162,87.1271
65.5153,82.9616
64.9814,80.2899
63.7308,78.8318
67.8907,69.7039
89.355,65.9579
89.8608,75.3474
88.5349,79.469
86.8738,77.1053
85.6726,80.687
84.8381,83.6413
81.8808,76.9305
73.7978,73.4186
77.5158,76.8086
67.8442,83.1956
67.1076,86.7232
68.7813,85.9235
70.474,84.7645
71.5979,83.1612
71.9631,80.5797
70.9732,80.4062
69.5448,80.682
73.7644,78.0672
75.1558,80.1503
81.6842,81.4429
81.3617,81.5257
81.3647,84.3986
81.2976,86.4688
82.0969,87.7309
75.1875,89.3776
76.7085,89.704
73.1915,86.6246
75.1925,84.8185
75.808,86.9246
76.7199,85.3085
78.9708,84.5685
79.041,86.7607
